iter	Logloss
0	0.6632624493
1	0.6327032185
2	0.6007895173
3	0.5749606023
4	0.550147991
5	0.5289174554
6	0.5091714222
7	0.4898805925
8	0.4699635212
9	0.4518531075
10	0.4356569906
11	0.4217061767
12	0.4077349986
13	0.392116558
14	0.3804371345
15	0.3658581452
16	0.3556527058
17	0.3471430226
18	0.3368450456
19	0.3252888334
20	0.315741897
21	0.305845773
22	0.2976929748
23	0.2928313565
24	0.2868775716
25	0.2803008021
26	0.274701423
27	0.2685288698
28	0.2634496473
29	0.2584131063
30	0.2534840651
31	0.2484256746
32	0.243661198
33	0.2390192279
34	0.234721144
35	0.2296912945
36	0.2258714745
37	0.2227227581
38	0.2192275738
39	0.2167112694
40	0.2137819527
41	0.2103909998
42	0.2070939837
43	0.204252057
44	0.2017901962
45	0.1987896499
46	0.1963490362
47	0.1936194621
48	0.1910105768
49	0.1882238758
50	0.1851780158
51	0.18322096
52	0.1812234506
53	0.1794806149
54	0.1776430519
55	0.1760727158
56	0.17406388
57	0.1720109103
58	0.1702027675
59	0.1687994851
60	0.1672168471
61	0.1656219098
62	0.1639734414
63	0.1621699331
64	0.1606409714
65	0.1596956297
66	0.1582054245
67	0.157029704
68	0.1556565486
69	0.1544335796
70	0.1530264526
71	0.1515073475
72	0.1501356068
73	0.1490446549
74	0.1475893265
75	0.1464882476
76	0.1452376562
77	0.1439104366
78	0.142938689
79	0.1418927977
80	0.140905204
81	0.1397212141
82	0.1383260928
83	0.1373076792
84	0.1363483484
85	0.1354614926
86	0.1345184323
87	0.1334106221
88	0.132635733
89	0.131765814
90	0.1310211522
91	0.1302467879
92	0.1293304259
93	0.1284452859
94	0.127631543
95	0.1266595638
96	0.1258464495
97	0.1251076807
98	0.1242670688
99	0.1234395998
100	0.1226449569
101	0.1217498296
102	0.1208681008
103	0.1202177826
104	0.1195088481
105	0.1188947426
106	0.1181610376
107	0.1173847838
108	0.1167461614
109	0.1161717152
110	0.1155950677
111	0.1148410225
112	0.1140872845
113	0.1135114091
114	0.1131098044
