iter	Passed	Remaining
416	2896	4049
417	2903	4042
418	2910	4035
419	2917	4028
420	2924	4022
421	2931	4015
422	2939	4009
423	2946	4002
424	2954	3996
425	2961	3989
426	2968	3983
427	2975	3976
428	2982	3969
429	2989	3962
430	2996	3955
431	3004	3950
432	3010	3942
433	3019	3937
434	3025	3929
435	3032	3923
436	3039	3915
437	3046	3908
438	3053	3902
439	3060	3894
440	3067	3888
441	3074	3881
442	3082	3875
443	3088	3868
444	3096	3861
445	3103	3855
446	3110	3848
447	3118	3841
448	3124	3834
449	3131	3827
450	3138	3820
451	3145	3813
452	3152	3806
453	3159	3800
454	3166	3792
455	3173	3785
456	3180	3779
457	3187	3771
458	3206	3779
459	3213	3772
460	3220	3765
461	3227	3758
462	3233	3750
463	3240	3743
464	3247	3735
465	3253	3728
466	3260	3721
467	3266	3713
468	3273	3706
469	3280	3699
470	3287	3692
471	3294	3685
472	3301	3678
473	3308	3671
474	3315	3664
475	3322	3657
476	3328	3649
477	3335	3642
478	3342	3635
479	3348	3627
480	3355	3620
481	3362	3613
482	3368	3606
483	3375	3598
484	3382	3591
485	3388	3584
486	3395	3576
487	3402	3569
488	3408	3562
489	3415	3554
490	3422	3547
491	3428	3540
492	3435	3533
493	3441	3525
494	3449	3518
495	3456	3511
496	3463	3505
497	3469	3497
498	3476	3490
499	3483	3483
500	3489	3475
501	3496	3468
502	3503	3461
503	3509	3454
504	3516	3446
505	3523	3439
506	3529	3432
507	3536	3424
508	3543	3417
509	3549	3410
510	3556	3403
511	3562	3395
512	3569	3388
513	3576	3381
514	3582	3374
515	3589	3367
516	3596	3359
517	3602	3352
518	3609	3345
519	3616	3337
520	3622	3330
521	3629	3323
522	3637	3317
523	3644	3310
524	3652	3304
525	3659	3297
526	3666	3290
527	3672	3283
528	3679	3276
529	3686	3269
530	3692	3261
531	3699	3254
532	3705	3247
533	3712	3239
534	3718	3232
535	3725	3225
536	3732	3217
537	3738	3210
538	3745	3203
539	3752	3196
540	3758	3188
541	3765	3181
542	3771	3174
543	3778	3167
544	3785	3160
545	3792	3153
546	3799	3146
547	3805	3139
548	3813	3132
549	3820	3125
550	3826	3118
551	3834	3111
552	3840	3104
553	3847	3097
554	3854	3090
555	3860	3082
556	3867	3075
557	3874	3068
558	3881	3062
559	3888	3055
560	3895	3048
561	3902	3041
562	3908	3033
563	3915	3026
564	3922	3019
565	3929	3012
566	3935	3005
567	3942	2998
568	3949	2991
569	3955	2984
570	3962	2976
571	3968	2969
572	3975	2962
573	3982	2955
574	3988	2948
575	3995	2941
576	4002	2934
577	4009	2927
578	4016	2920
579	4023	2913
580	4030	2906
581	4036	2899
582	4043	2892
583	4049	2884
584	4056	2877
585	4063	2870
586	4069	2863
587	4076	2856
588	4083	2849
589	4090	2842
590	4096	2835
591	4103	2828
592	4110	2821
593	4116	2813
594	4123	2806
595	4130	2799
596	4136	2792
597	4143	2785
598	4150	2778
599	4156	2770
600	4163	2763
601	4169	2756
602	4176	2749
603	4183	2742
604	4190	2735
605	4197	2728
